0,neg,neu,pos
perfect,0.0076178,0.24018,0.085539
#live,0,0,1
#moment,0,0,1
room,0.017517,0.26903,0.046789
looking,0.0061106,0.25948,0.067747
sweet,0.0089295,0.24413,0.080247
phone,0.028412,0.26736,0.037575
nothing,0.041072,0.21799,0.074262
b,0.020647,0.2617,0.050982
\uff01,0,0.26179,0.071543
#sexy,0,0,1
#health,0,0,1
everything,0.025694,0.2487,0.058951
came,0.0092516,0.26785,0.056223
#loveher,0,0,1
soon,0.030895,0.23667,0.065767
si,0.0192,0.25042,0.063717
d\u00eda,0.0355,0.26763,0.0302
#yum,0,0,1
#asian,0,0,1
hoy,0.0065,0.28402,0.042808
yeah,0.025313,0.23416,0.073873
#beer,0,0,1
doesn't,0.023278,0.22304,0.087028
$,0.019471,0.25441,0.05945
#no,1,0,0
#instacollage,0,0,1
#in,0,0,1
times,0.027107,0.25562,0.050605
he's,0.016614,0.23097,0.085767
eu,0.036307,0.2564,0.040626
dad,0.0099755,0.23042,0.092907
\u0e38,0.013972,0.30839,0.010944
#young,0,0,1
#why,0,0,1
#trip,0,0,1
#pray,0,0,1
#pool,0,0,1
#loveyou,0,0,1
waiting,0.023226,0.26164,0.048484
together,0.012353,0.25066,0.070336
lovely,0.025917,0.24294,0.06448
kids,0.016667,0.28525,0.031417
je,0.020055,0.2845,0.028806
\u3002,0,0.26022,0.073111
#last,0,0,1
#blackandwhite,0,0,1
wanna,0.035556,0.23921,0.058569
hard,0.039476,0.22471,0.069167
almost,0.022939,0.26959,0.040818
#little,0,0,1
#fitness,0,0,1
yo,0.046375,0.23956,0.047396
sun,0.020615,0.27126,0.041491
part,0.032838,0.26777,0.032686
alone,0.062431,0.25019,0.020714
#dress,0,0,1
we're,0.019189,0.24813,0.066039
those,0.014457,0.25803,0.060846
start,0.016779,0.26132,0.055229
show,0.020918,0.2548,0.057616
d,0.01895,0.24864,0.065728
#repost,0,0,1
#positive,0,0,1
bed,0.028604,0.26427,0.040459
al,0.0072222,0.28499,0.041127
#tagsforlikes,0,0,0
#pic,0,0,1
#ootd,0,0,1
#brunette,0,0,1
sister,0.017911,0.2607,0.054726
said,0.013006,0.25728,0.063048
#shoes,0,0,1
#dead,1,0,0
#boys,0,0,1
xd,0.012593,0.23521,0.08553
sick,0.054971,0.23687,0.041473
saturday,0.02465,0.26338,0.0453
into,0.021947,0.27736,0.03405
food,0.018387,0.26356,0.051378
eyes,0.034226,0.23008,0.069027
#l4l,0,0,1
#emo,0,0,1
missed,0.035861,0.2479,0.049591
actually,0.014537,0.26037,0.058426
#weather,0,0,1
#thankful,0,0,1
#old,0,0,1
#movie,0,0,1
#ig,0,0,1
#college,0,0,1
#bye,1,0,0
casa,0.038086,0.27538,0.019863
ago,0.025623,0.25323,0.054475
via,0.023988,0.28305,0.026296
um,0.003381,0.3005,0.029452
park,0.035563,0.22171,0.076059
#lunch,0,0,1
doing,0.043014,0.24876,0.041578
como,0.038522,0.25957,0.035244
#motivation,0,0,1
#house,0,0,1
mas,0.052767,0.22531,0.05525
com,0.025375,0.2595,0.048458
#throwback,1,0,0
#haha,0,0,1
#drink,0,0,1
view,0.029298,0.23842,0.065598
should,0.042185,0.2761,0.015045
selfie,0.015417,0.12125,0.029917
saw,0.030795,0.26331,0.039225
same,0.020486,0.27612,0.036722
put,0.0249,0.27148,0.036947
pra,0.015472,0.29076,0.027094
m,0.0069907,0.26956,0.056766
#lips,0,0,1
#laugh,0,0,1
#followback,0,0,1
#delicious,0,0,1
yet,0.016739,0.242,0.074596
went,0.018813,0.25379,0.060735
=,0.017867,0.2725,0.042966
#water,0,0,1
#hope,0,0,1
#gift,0,0,1
x,0,0.25049,0.08284
tree,0.043205,0.24673,0.043396
other,0.039472,0.24246,0.051387
making,0.02952,0.24535,0.058467
does,0.0071019,0.25975,0.066481
bom,0.023167,0.21169,0.098478
#tgif,0,0,1
remember,0.019926,0.27138,0.04203
mais,0.017167,0.3115,0.0046666
died,0.049476,0.22281,0.06105
damn,0.072318,0.2273,0.033711
broke,0.073689,0.2293,0.03034
awesome,0.0073229,0.23502,0.091006
amo,0.010944,0.26217,0.060222
:'),0.014983,0.24488,0.073437
#yolo,0,0,1
#lovehim,0,0,1
#iloveyou,0,0,1
song,0.023333,0.23234,0.077653
shit,0.069424,0.21919,0.044722
rest,0.028706,0.24348,0.061143
#picstitch,0,0,1
#hungry,0,0,1
#dark,0,0,1
ser,0.015792,0.27061,0.046933
meu,0.025533,0.25314,0.054656
crying,0.084674,0.19506,0.053602
#yellow,0,0,1
#smh,1,0,0
#happynewyear,0,0,1
#drinks,0,0,1
own,0.039621,0.26267,0.031046
isn't,0.010545,0.2608,0.061985
fav,0.0165,0.11356,0.036611
coming,0.033641,0.25589,0.043818
cake,0.026167,0.2731,0.034069
:-(,0.05754,0.22298,0.052813
#icecream,0,0,1
stop,0.047545,0.23017,0.055622
n\u00e3o,0.0369,0.2469,0.049533
coffee,0.025871,0.26515,0.042329
class,0.028032,0.2826,0.02266
\u0e39,0.013714,0.28871,0.030905
#summertime,0,0,1
#pet,0,0,1
#xmas,0,0,1
#foodporn,0,0,1
super,0.018905,0.21444,0.099957
since,0.025565,0.27239,0.035413
season,0.031717,0.24734,0.054272
mis,0.018238,0.30407,0.011024
#igdaily,0,0,1
#disney,0,0,1
#brazil,0,0,1
wow,0.029514,0.21669,0.087116
give,0.010762,0.27318,0.049397
enjoy,0.0051667,0.2652,0.062973
crazy,0.039352,0.22215,0.07188
#out,0,0,1
#inspiration,0,0,1
#cousin,0,0,1
watch,0.018476,0.297,0.017857
tweet,0.017739,0.25666,0.058923
sa,0.016442,0.2148,0.10212
minha,0,0.32266,0.010667
follow,0.025555,0.27314,0.034639
city,0.016352,0.27569,0.041275
any,0.019702,0.25976,0.053845
#silly,0,0,1
#leaving,0,0,1
#colors,0,0,1
yay,0.025684,0.20214,0.10552
wait,0.0058667,0.26861,0.058854
trying,0.014889,0.26561,0.052833
thought,0.011994,0.27652,0.044818
lunch,0.022647,0.26549,0.045202
l,0.017476,0.25645,0.059403
ko,0.037595,0.20571,0.090024
excited,0.012819,0.20703,0.1135
cause,0.023029,0.2559,0.05441
\u2022,0,0.15884,0.0078335
#usa,0,0,1
#is,0,0,1
until,0.020833,0.2622,0.050296
sometimes,0.013534,0.28113,0.038667
#wine,0,0,1
#mood,0,0,1
#latepost,0,0,1
#indonesia,0,0,1
#death,1,0,0
though,0.049024,0.24763,0.036643
lil,0.029058,0.24318,0.061097
hey,0,0.236,0.097333
guess,0.049933,0.23829,0.045107
6,0.020038,0.27908,0.034212
2014,0,0,0
#single,0,0,1
#omg,0,0,1
#kitty,0,0,1
#help,0,0,1
#easter,1,0,0
#dogs,0,0,1
#clouds,0,0,1
music,0.036479,0.25977,0.03709
ma,0.021,0.27735,0.034979
lot,0.01294,0.27014,0.050258
ini,0,0,0
esta,0.021708,0.27801,0.033611
cat,0.032262,0.2669,0.034172
she's,0.036166,0.2238,0.073345
gracias,0.0038333,0.13363,0.029167
em,0.0033572,0.2701,0.059869
7,0.01395,0.28005,0.039334
#starbucks,0,0,1
#sisters,0,0,1
#great,0,0,1
#god,0,0,1
#flower,0,0,1
#book,0,0,1
#bestoftheday,0,0,1
team,0.008643,0.25737,0.067322
seen,0.032991,0.2721,0.028238
free,0.031083,0.21308,0.089163
forever,0.019142,0.24791,0.0663
boys,0.0174,0.26797,0.047967
book,0.019115,0.26673,0.0475
#thanks,0,0,1
#song,0,0,1
#heartbroken,1,0,0
#for,0,0,1
#be,0,0,1
weeks,0.02428,0.26499,0.044065
lmao,0.017154,0.26062,0.055565
let's,0.016167,0.26228,0.05485
late,0.0378,0.25088,0.044681
gift,0.01675,0.2164,0.10019
dead,0.05507,0.25579,0.022472
around,0.020125,0.27894,0.034267
10,0.03372,0.24236,0.057229
#city,0,0,1
smh,0.054467,0.22812,0.050752
red,0.048334,0.23104,0.053917
months,0.021687,0.2509,0.060771
eat,0.021995,0.27931,0.032026
dont,0.023226,0.25574,0.054389
#thursday,0,0,1
#polishgirl,0,0,0
#lost,0,0,1
taking,0.03403,0.24355,0.055747
post,0.0385,0.24641,0.048417
play,0.010722,0.24216,0.080446
#russia,0,0,1
#place,1,0,0
#nails,0,0,1
#lastday,0,0,1
took,0.024356,0.26699,0.041988
through,0.035318,0.2659,0.032085
sleep,0.023416,0.26546,0.044458
merry,0.0036282,0.13139,0.031647
#upset,1,0,0
#tuesday,0,0,1
#merrychristmas,0,0,1
#japan,0,0,1
#dream,0,0,1
won't,0.023867,0.2512,0.05825
playing,0.0089037,0.24811,0.076319
meet,0.022528,0.24035,0.070479
bought,0.032307,0.23888,0.062165
\u0e19,0.0228,0.25746,0.053067
#wow,0,0,1
#instafood,0,0,1
#hate,1,0,0
#graduation,0,0,1
#goodday,0,0,1
#fuck,1,0,0
#but,0,0,1
read,0.0073333,0.25003,0.075963
peace,0.020333,0.23017,0.082835
movie,0.028778,0.25622,0.048333
loves,0.02995,0.21805,0.085313
holiday,0.0086429,0.23983,0.084859
#success,0,0,1
#breakfast,0,0,1
tell,0.034445,0.27255,0.026333
sure,0.028985,0.22029,0.08404
mood,0.016111,0.23614,0.081079
monday,0.039967,0.27211,0.02125
hi,0.015322,0.21987,0.098165
happened,0.025973,0.25917,0.048197
halloween,0.023593,0.25166,0.058074
anymore,0.029792,0.27805,0.025413
#play,0,0,1
#feeling,0,0,1
#adorable,0,0,1
les,0.036611,0.24822,0.0485
\u0e4c,0.0041481,0.28477,0.044417
#sketch,0,0,1
#gym,0,0,1
#finally,0,0,1
weather,0.039889,0.23244,0.061007
shoes,0.019793,0.24608,0.067462
london,0.033045,0.24692,0.053378
fuck,0.073638,0.1994,0.060326
foto,0.014155,0.30763,0.011572
cool,0.018118,0.26605,0.049146
chocolate,0.019804,0.27691,0.036632
@justinbieber,0.062238,0.22176,0.049357
#ugly,0,0,1
#tattoo,0,0,1
#not,0,0,1
#model,0,0,1
#mexico,0,0,1
#mad,1,0,0
#kid,0,0,1
#fat,0,0,1
#end,1,0,0
#always,0,0,1
person,0.023,0.25788,0.052457
\u0438,0,0.28732,0.046014
\u00a1,0,0.15091,0.01575
#thanksgiving,0,0,1
#thailand,0,0,1
#purple,0,0,1
#hello,0,0,1
#handsome,0,0,1
#goodvibes,0,0,1
#go,0,0,1
#apple,0,0,1
saying,0.016336,0.28935,0.027643
m\u00e1s,0.0165,0.26842,0.048417
hours,0.020411,0.26689,0.046033
gratis,0,0,0
):,0.054308,0.23706,0.041965
#onedirection,0,0,1
#of,0,0,1
#light,0,0,1
#instasize,0,0,0
#freedom,0,0,1
working,0.025738,0.2674,0.040222
words,0.010762,0.27362,0.048972
top,0.027866,0.24722,0.058278
outside,0.023782,0.26403,0.045479
mine,0.015187,0.27608,0.042062
bit,0.032914,0.26061,0.039824
#insta,0,0,1
#fresh,0,0,1
tu,0.012917,0.2755,0.045
there's,0.027458,0.24289,0.063028
seeing,0.012292,0.30337,0.017687
rain,0.038468,0.24275,0.052089
high,0.030444,0.26489,0.038
fucking,0.046071,0.22796,0.059345
few,0.033583,0.25868,0.041056
feels,0.029541,0.24352,0.060292
bday,0.023398,0.24234,0.067574
#team,0,0,1
#paulwalker,0,0,0
#man,0,0,1
tanpa,0,0,0
story,0.0092,0.26949,0.054676
run,0.006278,0.28384,0.043211
met,0,0.28574,0.047595
hot,0.02164,0.26601,0.045667
early,0.012248,0.26569,0.055393
