0,neg,neu,pos,
much,0,1,0,
by,0,1,0,
#new,0,1,0,
#hair,0,1,0,
will,0,1,0,
year,0,1,0,
#girls,0,1,0,
#christmas,0,1,0,
#dog,0,1,0,
her,0,1,0,
mi,0,1,0,
u,0,0,0,
can't,0,1,0,
little,0,1,0,
about,0,1,0,
en,0,1,0,
look,0,1,0,
can,0,1,0,
morning,0,1,0,
he,0,1,0,
see,0,1,0,
#cool,0,0,1,
lol,0,0,1,
why,0,1,0,
\u0e48,0,1,0,
#beach,0,1,0,
more,0,1,0,
#baby,0,1,0,
\u201d,0,1,0,
these,0,1,0,
as,0,1,0,
#instapic,0,1,0,
#lol,0,0,1,
has,0,1,0,
el,0,1,0,
\u0e49,0,1,0,
y,0,0,0,
baby,0,1,0,
work,0,1,0,
#home,0,1,0,
#boy,0,1,0,
#music,0,1,0,
#good,0,0,1,
#friend,0,0,1,
#follow,0,1,0,
#instamood,0,1,0,
only,0,1,0,
#holiday,0,0,1,
too,0,1,0,
going,0,1,0,
#sunday,0,1,0,
here,0,1,0,
#rip,0,1,0,
make,0,1,0,
if,0,1,0,
#picoftheday,0,1,0,
they,0,1,0,
feel,0,1,0,
an,0,1,0,
makes,0,1,0,
ever,0,1,0,
#food,0,1,0,
con,0,1,0,
3,0,0,0,
#my,0,1,0,
#work,0,1,0,
#pretty,0,0,1,
after,0,1,0,
first,0,1,0,
want,0,0,1,
o,0,0,0,
know,0,1,0,
#morning,0,1,0,
#followme,0,1,0,
#true,0,0,1,
right,0,1,0,
his,0,1,0,
really,0,1,0,
#school,0,1,0,
\u263a,0,1,0,
#black,0,1,0,
people,0,1,0,
2,0,0,0,
#nice,0,0,1,
am,0,1,0,
#blue,0,1,0,
who,0,1,0,
^,0,0,0,
made,0,1,0,
\u0e31,0,1,0,
#friday,0,1,0,
had,0,1,0,
she,0,1,0,
#blessed,0,0,1,
some,0,1,0,
smile,0,0,1,
#art,0,1,0,
#photooftheday,0,1,0,
:'(,1,0,0,
\u2661,0,1,0,
e,0,0,0,
~,0,0,0,
girl,0,1,0,
great,0,0,1,
#photo,0,1,0,
never,0,1,0,
#alone,1,0,0,
#red,0,1,0,
#quote,0,1,0,
been,0,1,0,
him,0,1,0,
\u0e35,0,1,0,
true,0,0,1,
#instadaily,0,1,0,
beautiful,0,0,1,
#crazy,1,0,0,
#saturday,0,1,0,
#memories,0,1,0,
christmas,0,1,0,
still,0,1,0,
#smiles,0,0,1,
its,0,1,0,
#pink,0,1,0,
\u2600,0,1,0,
off,0,1,0,
feliz,0,1,0,
#today,0,1,0,
finally,0,1,0,
face,0,1,0,
,),0,0,1
\u270c,0,1,0,
even,0,1,0,
always,0,1,0,
over,0,1,0,
#weekend,0,1,0,
think,0,1,0,
way,0,1,0,
#year,0,1,0,
there,0,1,0,
gonna,0,1,0,
#instalike,0,1,0,
#cry,1,0,0,
school,0,1,0,
#face,0,1,0,
#lonely,1,0,0,
oh,0,1,0,
again,0,1,0,
#fashion,0,1,0,
us,0,1,0,
friends,0,0,1,
#eyes,0,1,0,
un,0,1,0,
days,0,1,0,
#truth,0,0,1,
#nofilter,0,1,0,
haha,0,0,1,
#rain,0,1,0,
https://t.co,0,1,0,
#tbt,0,1,0,
#puppy,0,1,0,
#cat,0,1,0,
family,0,1,0,
well,0,0,1,
very,0,1,0,
world,0,1,0,
being,0,1,0,
hair,0,1,0,
#igers,0,1,0,
old,0,1,0,
thanks,0,0,1,
#white,0,1,0,
#sweet,0,0,1,
#cold,0,1,0,
picture,0,1,0,
thank,0,0,1,
man,0,1,0,
feeling,0,0,1,
#sick,1,0,0,
#instaphoto,0,1,0,
everyone,0,1,0,
come,0,1,0,
bye,0,1,0,
because,0,1,0,
s,0,0,0,
se,0,1,0,
#beauty,0,0,1,
#bestfriend,0,1,0,
#newyear,0,1,0,
wish,0,0,1,
them,0,1,0,
#2013,0,1,0,
down,0,1,0,
#hot,0,1,0,
need,0,1,0,
te,0,1,0,
#style,0,1,0,
#best,0,0,1,
or,0,1,0,
#gay,0,1,0,
1,0,0,0,
before,0,1,0,
#halloween,0,1,0,
ya,0,1,0,
friend,0,0,1,
#crying,1,0,0,
#blonde,0,1,0,
na,0,1,0,
#cake,0,1,0,
#sky,0,1,0,
#2014,0,1,0,
p,0,0,0,
para,0,1,0,
#sister,0,1,0,
years,0,1,0,
say,0,1,0,
rip,0,1,0,
#winter,0,1,0,
take,0,1,0,
dia,0,1,0,
im,0,1,0,
#holidays,0,0,1,
getting,0,1,0,
r,0,0,0,
house,0,1,0,
tonight,0,1,0,
#miss,1,0,0,
another,0,1,0,
found,0,1,0,
#time,0,1,0,
ready,0,0,1,
por,0,1,0,
week,0,1,0,
did,0,1,0,
where,0,1,0,
#instamoment,0,1,0,
i've,0,1,0,
friday,0,1,0,
es,0,1,0,
#likeforlike,0,1,0,
would,0,1,0,
goodbye,0,1,0,
\u0e34,0,1,0,
#broken,1,0,0,
photo,0,1,0,
please,0,0,1,
#peace,0,0,1,
guys,0,1,0,
better,0,0,1,
:-),0,0,1,
#like4like,0,1,0,
#friendship,0,0,1,
every,0,1,0,
#sea,0,1,0,
#chocolate,0,1,0,
two,0,1,0,
poor,1,0,0,
girls,0,1,0,
#loveit,0,1,0,
#goodmorning,0,1,0,
missing,1,0,0,
4,0,0,0,
#enjoy,0,0,1,
long,0,1,0,
#dinner,0,1,0,
#wedding,0,1,0,
#lovely,0,0,1,
were,0,1,0,
#to,0,1,0,
#nature,0,1,0,
w,0,0,0,
#healthy,0,0,1,
god,0,0,1,
bad,1,0,0,
#monday,0,1,0,
summer,0,1,0,
next,0,1,0,
big,0,1,0,
:/,1,0,0,
#green,0,1,0,
#boyfriend,0,1,0,
#quotes,0,1,0,
real,0,1,0,
fun,0,0,1,
than,0,1,0,
could,0,1,0,
someone,0,1,0,
mom,0,1,0,
#you,0,1,0,
#the,0,1,0,
#so,0,1,0,
da,0,1,0,
looks,0,1,0,
having,0,1,0,
.....,0,1,0,
#yummy,0,0,1,
#swag,0,1,0,
#iphone,0,1,0,
that's,0,1,0,
heart,0,1,0,
#vacation,0,1,0,
#makeup,0,1,0,
#spring,0,1,0,
#goodbye,0,1,0,
thing,0,1,0,
gone,0,1,0,
yes,0,0,1,
omg,0,1,0,
dinner,0,1,0,
boy,0,1,0,
beach,0,1,0,
#tears,1,0,0,
#brother,0,1,0,
things,0,1,0,
weekend,0,1,0,
sunday,0,1,0,
hahaha,0,0,1,
believe,0,1,0,
#perfect,0,0,1,
tomorrow,0,1,0,
pic,0,1,0,
leave,1,0,0,
(:,0,0,1,
#snow,0,1,0,
game,0,1,0,
#sunny,0,0,1,
#look,0,1,0,
#and,0,1,0,
#travel,0,1,0,
#drunk,1,0,0,
#bestfriends,0,1,0,
\u00e9,0,1,0,
let,0,1,0,
dog,0,1,0,
\u2728,0,1,0,
left,0,1,0,
c,0,0,0,
#kids,0,1,0,
such,0,1,0,
most,0,1,0,
#feliz,0,1,0,
then,0,1,0,
hope,0,0,1,
#coffee,0,1,0,
#bday,0,1,0,
pretty,0,0,1,
live,0,1,0,
#flowers,0,1,0,
#bff,0,0,1,
moment,0,1,0,
favorite,0,0,1,
away,0,1,0,
#dance,0,1,0,
los,0,1,0,
le,0,1,0,
\,0,0,0,
done,0,1,0,
already,0,1,0,
#world,0,1,0,
while,0,1,0,
myself,0,1,0,
may,0,1,0,
lo,0,1,0,
una,0,1,0,
party,0,0,1,
hello,0,1,0,
|,0,0,0,
something,0,1,0,
#sunset,0,1,0,
#bad,1,0,0,
+,0,0,0,
#yay,0,0,1,
cute,0,0,1,
2013,0,1,0,
#goodnight,0,1,0,
n,0,0,0,
hate,1,0,0,
end,0,1,0,
amazing,0,0,1,
#instalove,0,1,0,
#car,0,1,0,
many,0,1,0,
place,0,1,0,
cry,1,0,0,
car,0,1,0,
#shopping,0,1,0,
#forever,0,1,0,
guy,0,1,0,
find,0,1,0,
didn't,0,1,0,
#sunshine,0,0,1,
#goodtimes,0,1,0,
del,0,1,0,
their,0,1,0,
t,0,0,0,
lost,1,0,0,
#myself,0,1,0,
#iphonesia,0,1,0,
leaving,0,1,0,
#tree,0,1,0,
#happybirthday,0,1,0,
yesterday,0,1,0,
#heart,0,1,0,
keep,0,1,0,
#with,0,1,0,
#proud,0,0,1,
#kiss,0,0,1,
watching,0,1,0,
#people,0,1,0,
#mom,0,1,0,
vida,0,1,0,
5,0,0,0,
#together,0,1,0,
#picture,0,1,0,
#missyou,0,1,0,
#hurt,1,0,0,
las,0,1,0,
i'll,0,1,0,
without,0,1,0,
#london,0,1,0,
#instacool,0,1,0,
you're,0,1,0,
nice,0,0,1,
#now,0,1,0,
di,0,1,0,
brother,0,1,0,
#nyc,0,1,0,
#glasses,0,1,0,
#free,0,0,1,
#photography,0,1,0,
#pain,1,0,0,
#moments,0,1,0,
#inlove,0,1,0,
#drawing,0,1,0,
perfect,0,0,1,
#live,0,1,0,
#moment,0,1,0,
room,0,1,0,
looking,0,1,0,
sweet,0,0,1,
phone,0,1,0,
nothing,0,1,0,
b,0,0,0,
\uff01,0,1,0,
#sexy,0,0,1,
#health,0,1,0,
everything,0,1,0,
came,0,1,0,
#loveher,0,1,0,
soon,0,1,0,
si,0,1,0,
d\u00eda,0,1,0,
#yum,0,1,0,
#asian,0,1,0,
hoy,0,1,0,
yeah,0,0,1,
#beer,0,1,0,
doesn't,0,1,0,
$,0,0,0,
#no,1,0,0,
#instacollage,0,1,0,
#in,0,1,0,
times,0,1,0,
he's,0,1,0,
eu,0,1,0,
dad,0,1,0,
\u0e38,0,1,0,
#young,0,1,0,
#why,0,1,0,
#trip,0,1,0,
#pray,0,0,1,
#pool,0,1,0,
#loveyou,0,1,0,
waiting,0,1,0,
together,0,1,0,
lovely,0,0,1,
kids,0,1,0,
je,0,1,0,
\u3002,0,1,0,
#last,0,1,0,
#blackandwhite,0,1,0,
wanna,0,1,0,
hard,1,0,0,
almost,0,1,0,
#little,0,1,0,
#fitness,0,0,1,
yo,0,1,0,
sun,0,1,0,
part,0,1,0,
alone,1,0,0,
#dress,0,1,0,
we're,0,1,0,
those,0,1,0,
start,0,1,0,
show,0,1,0,
d,0,0,0,
#repost,0,1,0,
#positive,0,0,1,
bed,0,1,0,
al,0,1,0,
#tagsforlikes,0,1,0,
#pic,0,1,0,
#ootd,0,1,0,
#brunette,0,1,0,
sister,0,1,0,
said,0,1,0,
#shoes,0,1,0,
#dead,1,0,0,
#boys,0,1,0,
xd,0,0,1,
sick,1,0,0,
saturday,0,1,0,
into,0,1,0,
food,0,1,0,
eyes,0,1,0,
#l4l,0,1,0,
#emo,0,1,0,
missed,1,0,0,
actually,0,1,0,
#weather,0,1,0,
#thankful,0,0,1,
#old,0,1,0,
#movie,0,1,0,
#ig,0,1,0,
#college,0,1,0,
#bye,0,1,0,
casa,0,1,0,
ago,0,1,0,
via,0,1,0,
um,0,1,0,
park,0,1,0,
#lunch,0,1,0,
doing,0,1,0,
como,0,1,0,
#motivation,0,0,1,
#house,0,1,0,
mas,0,1,0,
com,0,1,0,
#throwback,0,1,0,
#haha,0,0,1,
#drink,0,1,0,
view,0,1,0,
should,0,1,0,
selfie,0,1,0,
saw,0,1,0,
same,0,1,0,
put,0,1,0,
pra,0,1,0,
m,0,0,0,
#lips,0,1,0,
#laugh,0,0,1,
#followback,0,1,0,
#delicious,0,0,1,
yet,0,1,0,
went,0,1,0,
=,0,0,0,
#water,0,1,0,
#hope,0,0,1,
#gift,0,0,1,
x,0,0,0,
tree,0,1,0,
other,0,1,0,
making,0,1,0,
does,0,1,0,
bom,0,1,0,
#tgif,0,0,1,
remember,0,1,0,
mais,0,1,0,
died,1,0,0,
damn,1,0,0,
broke,1,0,0,
awesome,0,0,1,
amo,0,1,0,
:'),0,0,1,
#yolo,0,0,1,
#lovehim,0,1,0,
#iloveyou,0,1,0,
song,0,1,0,
shit,1,0,0,
rest,0,1,0,
#picstitch,0,1,0,
#hungry,0,1,0,
#dark,0,1,0,
ser,0,1,0,
meu,0,1,0,
crying,1,0,0,
#yellow,0,1,0,
#smh,1,0,0,
#happynewyear,0,1,0,
#drinks,0,1,0,
own,0,1,0,
isn't,0,1,0,
fav,0,0,1,
coming,0,1,0,
cake,0,1,0,
:-(,1,0,0,
#icecream,0,1,0,
stop,1,0,0,
n\u00e3o,0,1,0,
coffee,0,1,0,
class,0,1,0,
\u0e39,0,1,0,
#summertime,0,1,0,
#pet,0,1,0,
#xmas,0,1,0,
#foodporn,0,1,0,
super,0,0,1,
since,0,1,0,
season,0,1,0,
mis,0,1,0,
#igdaily,0,1,0,
#disney,0,1,0,
#brazil,0,1,0,
wow,0,0,1,
give,0,1,0,
enjoy,0,0,1,
crazy,1,0,0,
#out,0,1,0,
#inspiration,0,0,1,
#cousin,0,1,0,
watch,0,1,0,
tweet,0,1,0,
sa,0,1,0,
minha,0,1,0,
follow,0,1,0,
city,0,1,0,
any,0,1,0,
#silly,0,0,1,
#leaving,0,1,0,
#colors,0,1,0,
yay,0,0,1,
wait,0,1,0,
trying,0,1,0,
thought,0,1,0,
lunch,0,1,0,
l,0,0,0,
ko,0,1,0,
excited,0,0,1,
cause,0,1,0,
\u2022,0,1,0,
#usa,0,1,0,
#is,0,1,0,
until,0,1,0,
sometimes,0,1,0,
#wine,0,1,0,
#mood,0,1,0,
#latepost,0,1,0,
#indonesia,0,1,0,
#death,1,0,0,
though,0,1,0,
lil,0,1,0,
hey,0,1,0,
guess,0,1,0,
6,0,0,0,
2014,0,1,0,
#single,0,1,0,
#omg,0,1,0,
#kitty,0,1,0,
#help,0,0,1,
#easter,0,1,0,
#dogs,0,1,0,
#clouds,0,1,0,
music,0,1,0,
ma,0,1,0,
lot,0,1,0,
ini,0,1,0,
esta,0,1,0,
cat,0,1,0,
she's,0,1,0,
gracias,0,1,0,
em,0,1,0,
7,0,0,0,
#starbucks,0,1,0,
#sisters,0,1,0,
#great,0,0,1,
#god,0,0,1,
#flower,0,1,0,
#book,0,1,0,
#bestoftheday,0,1,0,
team,0,1,0,
seen,0,1,0,
free,0,0,1,
forever,0,1,0,
boys,0,1,0,
book,0,1,0,
#thanks,0,0,1,
#song,0,1,0,
#heartbroken,1,0,0,
#for,0,1,0,
#be,0,1,0,
weeks,0,1,0,
lmao,0,0,1,
let's,0,1,0,
late,0,1,0,
gift,0,0,1,
dead,1,0,0,
around,0,1,0,
10,0,1,0,
#city,0,1,0,
smh,1,0,0,
red,0,1,0,
months,0,1,0,
eat,0,1,0,
dont,0,1,0,
#thursday,0,1,0,
#polishgirl,0,1,0,
#lost,1,0,0,
taking,0,1,0,
post,0,1,0,
play,0,0,1,
#russia,0,1,0,
#place,0,1,0,
#nails,0,1,0,
#lastday,0,1,0,
took,0,1,0,
through,0,1,0,
sleep,0,1,0,
merry,0,0,1,
#upset,1,0,0,
#tuesday,0,1,0,
#merrychristmas,0,1,0,
#japan,0,1,0,
#dream,0,0,1,
won't,0,1,0,
playing,0,0,1,
meet,0,1,0,
bought,0,1,0,
\u0e19,0,1,0,
#wow,0,0,1,
#instafood,0,1,0,
#hate,1,0,0,
#graduation,0,1,0,
#goodday,0,1,0,
#fuck,1,0,0,
#but,0,1,0,
read,0,1,0,
peace,0,0,1,
movie,0,1,0,
loves,0,0,1,
holiday,0,0,1,
#success,0,0,1,
#breakfast,0,1,0,
tell,0,1,0,
sure,0,0,1,
mood,0,1,0,
monday,0,1,0,
hi,0,1,0,
happened,0,1,0,
halloween,0,1,0,
anymore,0,1,0,
#play,0,0,1,
#feeling,0,0,1,
#adorable,0,0,1,
les,0,1,0,
\u0e4c,0,1,0,
#sketch,0,1,0,
#gym,0,1,0,
#finally,0,1,0,
weather,0,1,0,
shoes,0,1,0,
london,0,1,0,
fuck,1,0,0,
foto,0,1,0,
cool,0,0,1,
chocolate,0,1,0,
@justinbieber,0,1,0,
#ugly,1,0,0,
#tattoo,0,1,0,
#not,0,1,0,
#model,0,1,0,
#mexico,0,1,0,
#mad,1,0,0,
#kid,0,1,0,
#fat,0,1,0,
#end,0,1,0,
#always,0,1,0,
person,0,1,0,
\u0438,0,1,0,
\u00a1,0,1,0,
#thanksgiving,0,1,0,
#thailand,0,1,0,
#purple,0,1,0,
#hello,0,1,0,
#handsome,0,0,1,
#goodvibes,0,1,0,
#go,0,1,0,
#apple,0,1,0,
saying,0,1,0,
m\u00e1s,0,1,0,
hours,0,1,0,
gratis,0,0,1,
):,1,0,0,
#onedirection,0,1,0,
#of,0,1,0,
#light,0,1,0,
#instasize,0,1,0,
#freedom,0,0,1,
working,0,1,0,
words,0,1,0,
top,0,0,1,
outside,0,1,0,
mine,0,1,0,
bit,0,1,0,
#insta,0,1,0,
#fresh,0,0,1,
tu,0,1,0,
there's,0,1,0,
seeing,0,1,0,
rain,0,1,0,
high,0,1,0,
fucking,0,1,0,
few,0,1,0,
feels,0,1,0,
bday,0,1,0,
#team,0,1,0,
#paulwalker,0,1,0,
#man,0,1,0,
tanpa,0,1,0,
story,0,1,0,
run,0,1,0,
met,0,1,0,
hot,0,1,0,
early,0,1,0,
check,0,1,0,
cek,0,1,0,
ang,0,1,0,
%,0,0,0,
#times,0,1,0,
#thankyou,0,1,0,
#couple,0,1,0,
raih,0,1,0,
loving,0,0,1,
langsung,0,1,0,
kuis,0,1,0,
keren,0,1,0,
hadiah,0,1,0,
gadget2,0,1,0,
diundi,0,1,0,
cold,0,1,0,
breakfast,0,1,0,
\u2019,0,1,0,
\u044f,0,1,0,
\u0441,0,1,0,
@biskuit_kokola,0,1,0,
#throwbackthursday,0,1,0,
#tan,0,1,0,
#park,0,1,0,
#news,0,1,0,
#missing,1,0,0,
#grateful,0,0,1,
help,0,0,1,
happens,0,1,0,
final,0,1,0,
die,1,0,0,
cant,0,1,0,
call,0,1,0,
break,0,1,0,
\u0e27,0,1,0,
#sunglasses,0,1,0,
#paris,0,1,0,
#cats,0,1,0,
#brown,0,1,0,
#afternoon,0,1,0,
#100happydays,0,1,0,
wanted,0,1,0,
todos,0,1,0,
son,0,1,0,
ni,0,1,0,
\u0432,0,1,0,
#wtf,1,0,0,
#emotional,0,0,1,
white,0,1,0,
twitter,0,1,0,
news,0,1,0,
kid,0,1,0,
ha,0,0,1,
finished,0,1,0,
couldn't,0,1,0,
broken,1,0,0,
\u0e47,0,1,0,
@akun_kepo,0,1,0,
#lovethem,0,1,0,
#italy,0,1,0,
#empty,1,0,0,
#earth,0,1,0,
ur,0,1,0,
reason,0,1,0,
job,0,1,0,
college,0,1,0,
black,0,1,0,
\u00e0,0,1,0,
#triste,0,1,0,
#mylife,0,1,0,
#lucky,0,0,1,
#long,0,1,0,
#instagramers,0,1,0,
#instagirl,0,1,0,
#autumn,0,1,0,
#2012,0,1,0,
what's,0,1,0,
used,0,1,0,
stay,0,1,0,
shot,0,1,0,
ok,0,0,1,
ng,0,1,0,
month,0,1,0,
\u0e37,0,1,0,
#pizza,0,1,0,
#fml,0,1,0,
#evening,0,1,0,
#animal,0,1,0,
wrong,1,0,0,
whole,0,1,0,
truth,0,0,1,
todo,0,1,0,
q,0,0,0,
paul,0,1,0,
name,0,1,0,
loved,0,0,1,
et,0,1,0,
afternoon,0,1,0,
#color,0,1,0,
#anime,0,1,0,
try,0,1,0,
tarde,0,1,0,
mejor,0,1,0,
ice,0,1,0,
full,0,1,0,
fin,0,1,0,
cut,1,0,0,
#wednesday,0,1,0,
#spain,0,1,0,
#selca,0,1,0,
#feel,0,1,0,
#cutie,0,0,1,
#concert,0,1,0,
#bonding,0,1,0,
#bed,0,1,0,
triste,0,1,0,
quiero,0,1,0,
present,0,1,0,
nos,0,1,0,
mr,0,1,0,
memories,0,1,0,
este,0,1,0,
du,0,1,0,
#wish,0,0,1,
#random,0,1,0,
#mother,0,1,0,
#foreveralone,0,1,0,
#fall,0,1,0,
#fail,1,0,0,
#children,0,1,0,
mind,0,1,0,
least,0,1,0,
hotel,0,1,0,
comes,0,1,0,
anyone,0,1,0,
#present,0,1,0,
#minion,0,1,0,
#lovelife,0,1,0,
#blueeyes,0,1,0,
gotta,0,1,0,
esto,0,1,0,
enjoying,0,0,1,
empty,1,0,0,
care,0,0,1,
also,0,1,0,
allah,0,1,0,
20,0,1,0,
#this,0,1,0,
#nightout,0,1,0,
#moscow,0,1,0,
#fit,0,0,1,
#december,0,1,0,
wonderful,0,0,1,
snow,0,1,0,
shopping,0,1,0,
seriously,1,0,0,
noite,0,1,0,
nights,0,1,0,
far,0,1,0,
dear,0,0,1,
buenos,0,1,0,
12,0,1,0,
......,0,1,0,
#study,0,1,0,
#poor,1,0,0,
#mylove,0,1,0,
#instaplace,0,1,0,
#hat,0,1,0,
#goodtime,0,1,0,
#child,0,1,0,
#airport,0,1,0,
wedding,0,1,0,
stuff,0,1,0,
proud,0,0,1,
pizza,0,1,0,
lonely,1,0,0,
gets,0,1,0,
\u2744,0,1,0,
#woman,0,1,0,
#tweegram,0,1,0,
#merry,0,0,1,
#lights,0,1,0,
#la,0,1,0,
#guy,0,1,0,
#gorgeous,0,0,1,
#football,0,1,0,
#brothers,0,1,0,
pero,0,1,0,
kind,0,0,1,
hell,1,0,0,
everyday,0,1,0,
close,0,1,0,
change,0,1,0,
buy,0,1,0,
boyfriend,0,1,0,
bored,1,0,0,
anything,0,1,0,
^_^,0,1,0,
\ud83d\ude2d,0,1,0,
#yesterday,0,1,0,
#scary,1,0,0,
#real,0,1,0,
#ouch,0,1,0,
#mirror,0,1,0,
#lmao,0,0,1,
#draw,0,1,0,
welcome,0,0,1,
short,0,1,0,
nada,0,1,0,
il,0,1,0,
goes,0,1,0,
during,0,1,0,
blue,0,1,0,
\u2708,0,1,0,
#warm,0,0,1,
#vscocam,0,1,0,
#longhair,0,1,0,
#lastnight,0,1,0,
#girlfriend,0,1,0,
#eye,0,1,0,
wear,0,1,0,
walk,0,1,0,
shirt,0,1,0,
puppy,0,1,0,
knows,0,1,0,
inside,0,1,0,
hurt,1,0,0,
funny,0,0,1,
eating,0,1,0,
#twitter,0,1,0,
#gone,0,1,0,
#days,0,1,0,
#daughter,0,1,0,
#chill,0,1,0,
#celebration,0,1,0,
#big,0,1,0,
#believe,0,1,0,
trip,0,1,0,
hour,0,1,0,
favourite,0,1,0,
boa,0,1,0,
#princess,0,1,0,
#pout,0,1,0,
#orange,0,1,0,
#favorite,0,0,1,
#dubai,0,1,0,
#childhood,0,1,0,
starbucks,0,1,0,
once,0,1,0,
happen,0,1,0,
f,0,0,0,
enough,0,1,0,
club,0,1,0,
#very,0,1,0,
#train,0,1,0,
#tonight,0,1,0,
#reality,0,1,0,
#navidad,0,1,0,
#natural,0,0,1,
#money,0,1,0,
#instaplaceapp,0,1,0,
#instahappy,0,1,0,
#dad,0,1,0,
young,0,1,0,
talk,0,1,0,
money,0,1,0,
mean,0,1,0,
instagram,0,1,0,
faces,0,1,0,
evening,0,1,0,
drink,0,1,0,
cont,0,1,0,
beauty,0,0,1,
bar,0,1,0,
1st,0,1,0,
#tv,0,1,0,
#son,0,1,0,
#potd,0,1,0,
#painting,0,1,0,
#it,0,1,0,
#hospital,0,1,0,
#cut,1,0,0,
#class,0,1,0,
video,0,1,0,
tea,0,1,0,
su,0,1,0,
siempre,0,1,0,
reading,0,1,0,
parents,0,1,0,
mum,0,1,0,
forget,1,0,0,
date,0,1,0,
dance,0,1,0,
as\u00ed,0,1,0,
arrived,0,1,0,
airport,0,1,0,
a\u00f1o,0,1,0,
\u3001,0,1,0,
#we,0,1,0,
#sunnyday,0,1,0,
#rose,0,1,0,
#nephew,0,1,0,
#instafun,0,1,0,
#fire,1,0,0,
#cousins,0,1,0,
tho,0,1,0,
thinking,0,1,0,
sunshine,0,0,1,
open,0,1,0,
must,0,1,0,
mama,0,1,0,
light,0,1,0,
gave,0,1,0,
box,0,1,0,
bath,0,1,0,
aww,0,1,0,
\ud83d\ude0a,0,1,0,
\u24d2,0,1,0,
</3,1,0,0,
#want,0,0,1,
#tea,0,1,0,
#hi,0,1,0,
#first,0,1,0,
#dreams,0,0,1,
#candy,0,1,0,
#back,0,1,0,
yourself,0,1,0,
winter,0,1,0,
tan,0,1,0,
sunny,0,0,1,
second,0,1,0,
okay,0,0,1,
office,0,1,0,
nails,0,1,0,
mother,0,1,0,
mon,0,1,0,
head,0,1,0,
front,0,1,0,
easter,0,1,0,
dan,0,1,0,
concert,0,1,0,
bro,0,1,0,
bless,0,0,1,
\u0e21,0,1,0,
\u043d\u0435,0,1,0,
#vintage,0,1,0,
#uni,0,1,0,
#street,0,1,0,
#moving,0,1,0,
#job,0,1,0,
#instagay,0,1,0,
#instaboy,0,1,0,
#feelings,0,1,0,
#eat,0,1,0,
#church,0,1,0,
#bro,0,1,0,
xx,0,1,0,
wants,0,1,0,
st,0,1,0,
side,0,1,0,
set,0,1,0,
pictures,0,1,0,
pa,0,1,0,
os,0,1,0,
means,0,1,0,
hehe,0,1,0,
cousin,0,1,0,
,(,0,1,0
#years,0,1,0,
#workout,0,1,0,
#us,0,1,0,
#turkey,0,1,0,
#short,0,1,0,
#over,0,1,0,
#on,0,1,0,
#nike,0,1,0,
#minions,0,1,0,
#miami,0,1,0,
#hard,1,0,0,
#gayboy,0,1,0,
#faces,0,1,0,
#bomdia,0,1,0,
wishing,0,0,1,
use,0,1,0,
today's,0,1,0,
tears,1,0,0,
starting,0,1,0,
sea,0,1,0,
mommy,0,1,0,
ill,1,0,0,
glad,0,0,1,
fan,0,0,1,
death,1,0,0,
ass,1,0,0,
Err:508,0,0,1,
#stupid,1,0,0,
#strong,0,0,1,
#story,0,1,0,
